"BehaviorSpace results (NetLogo 6.2.0)"
"collapse_behav_space.nlogo"
"consistency_two_isl"
"07/29/2022 10:58:43:074 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","prospect?","isl-att-curve","juvenile-mortality","collapse?","prop-returning-breeders","sex-ratio","capture-data?","emigrant-perc","diffusion-prop","adult-mortality-sd","emigration-rate","verbose?","emig-out-prob","raft-half-way","emigration-timer","behav-output-path","age-first-return","old-mortality","output-file-name","emigration-curve","juvenile-mortality-sd","emigration-max-attempts","natural-chick-mortality","update-colour?","female-philopatry","chick-mortality-sd","nhb-rad","adult-mortality","initialisation-data","enso?","max-tries","max-age","debug?","enso-adult-mort","profiler?","age-at-first-breeding","enso-breed-impact","[step]"
"74","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"76","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"77","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"78","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"79","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"80","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"82","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"81","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"83","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"86","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"84","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"85","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"87","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"88","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"89","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"90","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"99","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"91","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"92","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"95","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"93","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"97","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"94","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"96","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"98","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
"100","true","beta2","0.65","true","0.9","1","true","0.8","0.4","0.01","0.8","false","0.6","100","6","./output/consistency/two_isl","4","0.5","./output/consistency.csv","0.5","0.2","2","0.2","false","0.95","0.1","4","0.05","./data/consistency_two_isl.csv","true","5","28","false","[0.25 0.1 0 0.1 0.25]","false","6","[0.5 0.2 0 0.2 0.5]","800"
